Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60000224,1/11/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2/17/2017,V8 Relocation,2/15/2017,70200,Head of HR,,Female,2/12/1988,HR Coordinator
60000230,1/11/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/12/2017,V0 Resignation unknown/Other,3/24/2017,71020,RM Warehouse,,Male,1/26/1989,Material Handler SMT-002
60000260,1/13/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2/27/2017,V8 Relocation,2/24/2017,1862177,PRODUCTION ADMIN,,Female,4/29/1979,Material Handler
60000282,3/7/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/4/2016,V0 Resignation unknown/Other,4/3/2017,54-1202,Prodn Line Cost Coll,,Male,,Temporary / Contingent
60000283,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/4/2016,V0 Resignation unknown/Other,5/16/2017,54-1202,Prodn Line Cost Coll,,Male,,Temporary / Contingent
60000294,11/4/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/1/2017,54-1202,Prodn Line Cost Coll,,Female,,Temporary / Contingent
60000308,5/24/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/17/2017,54-1202,Prodn Line Cost Coll,PR,Male,,Temporary / Contingent
60000320,4/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/12/2017,I5 Excessive absenteeism,5/10/2017,12170,MV Tire Assembly PLT,,Male,7/25/1980,Tire Builder Operator MVN-222
60000322,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/13/2017,V3 Accepted other employment,2/7/2017,12030,MV Mixing,,Male,7/28/1995,Mixer Machine Operator MVN-220
60000353,1/19/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/15/2017,V3 Accepted other employment,5/12/2017,214-K058,GHPP,,Male,7/17/1969,Manager Technical Project
60000365,10/17/2016,30 Termination,Rochester NH,US-NH-Rochester-CT Tpol,5/1/2017,V3 Accepted other employment,4/28/2017,2301208120,Warehouse - Var,,Male,3/4/1968,Material Handler SOM-004
60000397,1/19/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/4/2016,V0 Resignation unknown/Other,1/25/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,
60000408,2/21/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/4/2016,V0 Resignation unknown/Other,4/18/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000412,1/29/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,6/7/2017,V3 Accepted other employment,5/30/2017,214-941,Components Machining,,Male,9/8/1993,Production Machinist
60000419,2/1/2016,30 Termination,Allentown,US-PA-Allentown-CAS Inc.,7/26/2017,V0 Resignation unknown/Other,7/21/2017,200-5015,Additional Warehouse,,Male,11/6/1990,Warehouse
60000436,1/19/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/4/2016,V0 Resignation unknown/Other,8/3/2017,54-0700,Bldg/Facility COMMON,FM,unknown,,
60000441,10/31/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/8/2017,V3 Accepted other employment,5/4/2017,2301202030,Ext Mat Prep Labor A,,Male,2/17/1990,Operator SOM-001
60000444,9/26/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/22/2017,V5 Job abandonment,3/17/2017,2301202050,Ext Asse. Labor AIS,,Male,10/19/1992,Assembler SOM-001
60000449,7/10/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/28/2017,V3 Accepted other employment,8/24/2017,2301202020,Ext Autocl Labor A,,Male,11/18/1995,Operator SOM-005
60000464,1/25/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,9/21/2017,V5 Job abandonment,4/6/2017,71030,SP & Supplies WH,OP,Male,10/22/1982,Crew Member SMT-002
60000479,2/1/2016,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,3/7/2017,V3 Accepted other employment,3/3/2017,205-P633,P FEM FM AM Purc ABH,,Male,1/12/1992,Associate Buyer
60000489,2/5/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,4/28/2017,I5 Excessive absenteeism,4/19/2017,214-K061,XL3 Fuel Rail,,Male,6/16/1989,Production Associate
60000509,5/25/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,5/2/2017,V8 Relocation,5/2/2017,1862177,PRODUCTION ADMIN,,Male,3/20/1989,Machine Operator
60000548,1/6/2016,32 Termination external,Barnsville,US-GA-Barnsville-CTNA Aldora,,V0 Resignation unknown/Other,2/13/2017,18390,AD Direct Cabling,PR,Male,6/4/1979,Temporary / Contingent
60000549,2/8/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,1/30/2017,1862177,PRODUCTION ADMIN,PR,unknown,,Temporary / Contingent
60000552,7/30/2012,30 Termination,Barnsville,US-GA-Barnsville-CTNA Aldora,7/13/2017,V3 Accepted other employment,7/9/2017,18390,AD Direct Cabling,,Male,2/18/1989,Cabler ALD-003
60000554,4/24/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,5/31/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60000569,2/5/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/13/2017,161159,Fin. Ably MK100 MOD9,PR,unknown,,Temporary / Contingent
60000574,2/11/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/13/2017,161150,Bracketing,PR,unknown,,Temporary / Contingent
60000582,1/10/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,4/11/2017,54-1202,Prodn Line Cost Coll,,Female,,Temporary / Contingent
60000591,1/18/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,1/17/2017,12250,MV Pass/LT F.F.,PR,Female,10/25/1972,
60000601,7/25/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/26/2017,V3 Accepted other employment,4/25/2017,12170,MV Tire Assembly PLT,,Female,4/17/1991,Tire Builder Operator MVN-222
60000603,1/27/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,1/26/2017,12620,MV Qualty Inspection,QM,Male,3/19/1981,
60000615,6/6/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,9/15/2017,V5 Job abandonment,3/8/2017,22060,MV CF Tire Assem PLT,,Male,2/16/1983,Tire Builder Operator MVN-222
60000618,11/30/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,7/9/2017,12160,MV PII Trk Bead Assm,,Male,5/19/1997,
60000633,7/13/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,6/6/2017,I1 Death,6/4/2017,1862177,PRODUCTION ADMIN,,Male,8/22/1990,Assembler
60000647,2/15/2016,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,5/22/2017,V3 Accepted other employment,6/2/2017,205-J143,I BS RD BCM2 SE,,Female,12/30/1989,Associate Systems Engineer
60000649,2/15/2016,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,5/8/2017,T5 End of intership,5/5/2017,164473,CONTROL STRATEGIES,,Male,11/11/1995,Intern/Student Program - Technical
60000658,2/15/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,8/30/2017,T5 End of intership,8/15/2017,214-218,PL Injector IE,,Male,6/23/1989,Intern/Student Program - Technical
60000660,2/22/2016,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,6/30/2017,T5 End of intership,6/1/2017,999HR,HR Dummy-CoCd515 Emp,,Male,1/25/1995,Intern/Student Program - Non Technical
60000676,1/24/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/18/2016,V0 Resignation unknown/Other,3/15/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000698,2/2/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2/18/2016,V0 Resignation unknown/Other,1/17/2017,54-4362,COM Recv / Frt / Dut,PR,unknown,,
60000702,4/10/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/3/2017,I5 Excessive absenteeism,8/2/2017,54-1202,Prodn Line Cost Coll,,Female,3/11/1993,Manufacturing Associate I
60000705,5/26/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,5/25/2017,V0 Resignation unknown/Other,5/22/2017,54-1202,Prodn Line Cost Coll,,Female,8/22/1992,Manufacturing Associate I
60000716,7/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,8/2/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000745,2/19/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2/19/2017,12250,MV Pass/LT F.F.,PR,Male,7/6/1966,Rework/Repair Operator Final Finish MVN-
60000754,2/14/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/27/2017,V3 Accepted other employment,3/23/2017,2301258210,QC Inspection,,Female,3/13/1972,Quality Inspector I SOM-003
60000770,2/8/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,1/29/2017,2301203050,EBA2 Crush ring ass.,PR,Male,3/18/1980,Operator SOM-002
60000793,7/13/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,5/16/2017,V8 Relocation,5/10/2017,1862177,PRODUCTION ADMIN,,Male,9/2/1991,Material Handler
60000800,2/22/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,1/17/2017,V5 Job abandonment,1/16/2017,80670,Curing,,Male,10/4/1996,Crew Member SMT-002
60000810,2/22/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2/22/2017,12250,MV Pass/LT F.F.,PR,Male,1/22/1973,
60000842,4/25/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,6/6/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000853,6/6/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,7/5/2017,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60000872,2/25/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,7/10/2017,I2 Disciplinary action,6/27/2017,214-K058,GHPP,,Male,10/25/1992,Production Associate
60000879,2/25/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,9/19/2017,V3 Accepted other employment,9/12/2017,214-K061,XL3 Fuel Rail,,Female,4/15/1994,Production Associate
60000912,12/9/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/27/2017,161148,Pre Assembly,,unknown,,
60000913,2/26/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/6/2017,161158,Fin. Ably MK25E MOD7,OP,unknown,,Temporary / Contingent
60000914,2/26/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/7/2017,161161,MK25e Valves- SO,PR,unknown,,Temporary / Contingent
60000921,2/26/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/6/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60000929,2/29/2016,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,9/1/2017,I2 Disciplinary action,8/31/2017,2264501,ADAS Quality,,Male,10/26/1968,Engineer Technician III
60000955,2/23/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,3/8/2017,54-4362,COM Recv / Frt / Dut,PR,unknown,,Temporary / Contingent
60000958,2/23/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,3/6/2017,54-0700,Bldg/Facility COMMON,FM,unknown,,Temporary / Contingent
60000970,3/4/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/16/2017,I2 Disciplinary action,5/10/2017,214-K058,GHPP,,Female,6/28/1974,Production Associate
60000975,3/4/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,11/2/2016,V0 Resignation unknown/Other,8/20/2017,214-966,CR3 Deka VII,,Female,11/18/1994,Cell Operate and Setup
60000981,3/15/2013,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,8/25/2017,VE End of assignment,8/31/2017,205-B875,Honda BD,,Female,9/19/1989,Project Engineer
60000983,10/1/2012,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,7/21/2017,VT Transf.to other Conti comp.,8/31/2017,205-B974,I BS RD CF MD4,,Male,10/15/1988,Mechanical Engineer
60000990,3/7/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2/5/2017,12270,MV Truck F.F.,PR,Male,12/2/1964,
60001000,2/29/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,2/17/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60001001,3/6/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/23/2017,161150,Bracketing,PR,unknown,,Temporary / Contingent
60001004,3/5/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/3/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60001013,3/5/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/3/2017,761175,EAS Production,PR,unknown,,Temporary / Contingent
60001033,5/9/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,7/14/2017,V3 Accepted other employment,7/13/2017,1862177,PRODUCTION ADMIN,,Male,1/17/1964,Machine Operator
60001048,11/14/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/1/2017,V3 Accepted other employment,5/27/2017,12730,MV Gen Maint,,Male,2/8/1994,Electrician MVN-132
60001054,10/17/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,7/31/2017,V8 Relocation,7/28/2017,2301202050,Ext Asse. Labor AIS,,Female,5/7/1969,Tooling Administrator
60001068,1/9/2017,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/28/2017,V5 Job abandonment,8/23/2017,2301202020,Ext Autocl Labor A,,Male,12/17/1986,Operator SOM-005
60001071,12/18/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/3/2017,V3 Accepted other employment,3/3/2017,2301202050,Ext Asse. Labor AIS,,Male,4/5/1993,Assembler SOM-001
60001079,2/26/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2/26/2017,2301203070,BM Material Handler,PR,Male,3/18/1980,Temporary / Contingent
60001109,5/6/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,6/2/2017,,,,unknown,,
60001116,3/1/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,3/6/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60001120,1/24/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,4/20/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001121,3/1/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,4/4/2017,54-0700,Bldg/Facility COMMON,FM,unknown,,Temporary / Contingent
60001125,3/11/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/27/2017,161157,Fin. Ably MK25E MOD6,PR,unknown,,Temporary / Contingent
60001128,3/9/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/13/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,
60001143,3/14/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,3/30/2017,12260,MV PII Truck Curing,PR,Male,6/21/1991,Press Operator MVN-112
60001145,3/14/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,3/1/2017,12730,MV Gen Maint,PR,Male,10/1/1994,Maintenance Technician MVN-131
60001149,3/7/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,3/23/2017,1862177,PRODUCTION ADMIN,OP,unknown,,Temporary / Contingent
60001156,5/25/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,6/7/2017,V5 Job abandonment,6/6/2017,1862177,PRODUCTION ADMIN,,Male,1/10/1988,Lead Assembly Setter
60001159,8/15/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,5/4/2017,V3 Accepted other employment,5/2/2017,1862177,PRODUCTION ADMIN,,Female,11/18/1991,Plating Operator
60001180,12/6/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2/7/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001183,5/1/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,6/8/2017,V0 Resignation unknown/Other,5/26/2017,54-4362,COM Recv / Frt / Dut,,Male,9/27/1973,Material Handler I
60001191,3/28/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,9/24/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001201,10/30/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,7/28/2017,V5 Job abandonment,7/21/2017,2301203040,Weld-Perif/Frimo/KLN,,Male,8/8/1990,Operator SOM-002
60001205,3/6/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,4/1/2017,2301202020,Ext Autocl Labor A,PR,unknown,1/1/1970,Temporary / Contingent
60001209,3/7/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2/24/2017,2301203050,EBA2 Crush ring ass.,PR,unknown,1/1/1970,Temporary / Contingent
60001210,3/14/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,7/18/2017,V3 Accepted other employment,7/16/2017,22080,MV CF Pass F.F.,,Male,7/12/1969,Repair Worker  MVN-211
60001211,9/25/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/18/2017,I2 Disciplinary action,8/18/2017,2301202050,Ext Asse. Labor AIS,,Male,12/21/1988,Assembler SOM-001
60001221,3/13/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/1/2017,161148,Pre Assembly,PR,unknown,,
60001222,3/13/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/24/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,
60001250,3/1/2016,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,2/10/2017,163144,MKxxE Machining,PR,Male,11/10/1996,Temporary / Contingent
60001268,3/21/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,9/11/2017,V3 Accepted other employment,8/30/2017,70610,Mixing,,Male,12/30/1963,Material Handler SMT-002
60001270,3/15/2016,30 Termination,Morganton,US-NC-Morganton-CAS Inc.,4/28/2017,V3 Accepted other employment,4/27/2017,161158,Fin. Ably MK25E MOD7,,Male,4/21/1987,Manufacturing Technician I
60001276,3/21/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,5/6/2017,12250,MV Pass/LT F.F.,PR,Male,1/16/1976,
60001278,3/17/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,8/23/2017,T5 End of intership,8/18/2017,1862301,MANUFACTURING ENG,,Female,2/22/1996,Intern/Student Program - Non Technical
60001281,9/14/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,3/14/2017,T5 End of intership,3/13/2017,214-219,Plant IE,,Male,1/3/1991,Intern/Student Program - Technical
60001288,3/21/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,8/24/2017,V3 Accepted other employment,8/18/2017,80640,Cutting,,Male,2/6/1982,Cutting/Slitting Machine Operator SMT-00
60001310,3/7/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,8/3/2017,V5 Job abandonment,7/17/2017,70610,Mixing,,Male,8/23/1990,Material Handler SMT-002
60001316,6/14/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/30/2017,161408,Receiving Morganton,,unknown,,
60001334,7/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,8/18/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001338,3/15/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,3/27/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60001339,7/26/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,3/9/2017,V0 Resignation unknown/Other,3/7/2017,54-1202,Prodn Line Cost Coll,,Male,2/4/1995,Manufacturing Associate I
60001349,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/9/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
