Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60000148,2015-12-30,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-02-15,12250,MV Pass/LT F.F.,PR,Male,1991-06-13,
60000184,2017-01-10,30 Termination,Morganton,US-NC-Morganton-CAS Inc.,2017-09-05,V3 Accepted other employment,2017-08-31,161157,Fin. Ably MK25E MOD6,,Male,1995-06-17,Material Handler
60000191,2016-01-15,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-05-18,I5 Excessive absenteeism,2017-05-15,214-K058,GHPP,,Female,1990-05-07,Production Associate
60000202,2016-05-09,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-02-21,T2 Family issues,2017-02-20,22060,MV CF Tire Assem PLT,,Male,1993-01-13,Tire Builder Operator MVN-222
60000207,2016-07-11,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-03-14,I2 Disciplinary action,2017-03-12,12030,MV Mixing,,Male,1991-03-19,Mixer Machine Operator MVN-217
60000209,2016-07-11,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-08-01,V8 Relocation,2017-07-30,12240,MV Pass/LT Curing,,Male,1995-04-18,Press Operator MVN-212
60000220,2011-01-05,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-04-03,I5 Excessive absenteeism,2017-03-26,80660,Tire Building,,Female,1974-10-17,Tire Builder Operator SMT-004
60000222,2016-01-11,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-02-08,I3 Performance,2017-02-07,12910,MV Industrial Eng,,Male,1986-10-22,Manager Industrial Engineering
60000224,2016-01-11,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-02-17,V8 Relocation,2017-02-15,70200,Head of HR,,Female,1988-02-12,HR Coordinator
60000230,2016-01-11,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-04-12,V0 Resignation unknown/Other,2017-03-24,71020,RM Warehouse,,Male,1989-01-26,Material Handler SMT-002
60000260,2016-01-13,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-02-27,V8 Relocation,2017-02-24,1862177,PRODUCTION ADMIN,,Female,1979-04-29,Material Handler
60000282,2017-03-07,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-04,V0 Resignation unknown/Other,2017-04-03,54-1202,Prodn Line Cost Coll,,Male,,Temporary / Contingent
60000283,2017-05-02,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-04,V0 Resignation unknown/Other,2017-05-16,54-1202,Prodn Line Cost Coll,,Male,,Temporary / Contingent
60000294,2016-11-04,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-01-01,54-1202,Prodn Line Cost Coll,,Female,,Temporary / Contingent
60000308,2016-05-24,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-01-17,54-1202,Prodn Line Cost Coll,PR,Male,,Temporary / Contingent
60000320,2016-04-11,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-05-12,I5 Excessive absenteeism,2017-05-10,12170,MV Tire Assembly PLT,,Male,1980-07-25,Tire Builder Operator MVN-222
60000322,2016-07-11,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-02-13,V3 Accepted other employment,2017-02-07,12030,MV Mixing,,Male,1995-07-28,Mixer Machine Operator MVN-220
60000353,2016-01-19,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-05-15,V3 Accepted other employment,2017-05-12,214-K058,GHPP,,Male,1969-07-17,Manager Technical Project
60000365,2016-10-17,30 Termination,Rochester NH,US-NH-Rochester-CT Tpol,2017-05-01,V3 Accepted other employment,2017-04-28,2301208120,Warehouse - Var,,Male,1968-03-04,Material Handler SOM-004
60000397,2016-01-19,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-04,V0 Resignation unknown/Other,2017-01-25,54-1202,Prodn Line Cost Coll,PR,unknown,,
60000408,2017-02-21,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-04,V0 Resignation unknown/Other,2017-04-18,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000412,2016-01-29,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-06-07,V3 Accepted other employment,2017-05-30,214-941,Components Machining,,Male,1993-09-08,Production Machinist
60000419,2016-02-01,30 Termination,Allentown,US-PA-Allentown-CAS Inc.,2017-07-26,V0 Resignation unknown/Other,2017-07-21,200-5015,Additional Warehouse,,Male,1990-11-06,Warehouse
60000436,2016-01-19,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-04,V0 Resignation unknown/Other,2017-08-03,54-0700,Bldg/Facility COMMON,FM,unknown,,
60000441,2016-10-31,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-05-08,V3 Accepted other employment,2017-05-04,2301202030,Ext Mat Prep Labor A,,Male,1990-02-17,Operator SOM-001
60000444,2016-09-26,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-03-22,V5 Job abandonment,2017-03-17,2301202050,Ext Asse. Labor AIS,,Male,1992-10-19,Assembler SOM-001
60000449,2016-07-10,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-08-28,V3 Accepted other employment,2017-08-24,2301202020,Ext Autocl Labor A,,Male,1995-11-18,Operator SOM-005
60000464,2016-01-25,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-09-21,V5 Job abandonment,2017-04-06,71030,SP & Supplies WH,OP,Male,1982-10-22,Crew Member SMT-002
60000479,2016-02-01,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,2017-03-07,V3 Accepted other employment,2017-03-03,205-P633,P FEM FM AM Purc ABH,,Male,1992-01-12,Associate Buyer
60000489,2016-02-05,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-04-28,I5 Excessive absenteeism,2017-04-19,214-K061,XL3 Fuel Rail,,Male,1989-06-16,Production Associate
60000509,2016-05-25,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-05-02,V8 Relocation,2017-05-02,1862177,PRODUCTION ADMIN,,Male,1989-03-20,Machine Operator
60000548,2016-01-06,32 Termination external,Barnsville,US-GA-Barnsville-CTNA Aldora,,V0 Resignation unknown/Other,2017-02-13,18390,AD Direct Cabling,PR,Male,1979-06-04,Temporary / Contingent
60000549,2016-02-08,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,2017-01-30,1862177,PRODUCTION ADMIN,PR,unknown,,Temporary / Contingent
60000552,2012-07-30,30 Termination,Barnsville,US-GA-Barnsville-CTNA Aldora,2017-07-13,V3 Accepted other employment,2017-07-09,18390,AD Direct Cabling,,Male,1989-02-18,Cabler ALD-003
60000554,2017-04-24,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,2017-05-31,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60000569,2016-02-05,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-13,161159,Fin. Ably MK100 MOD9,PR,unknown,,Temporary / Contingent
60000574,2016-02-11,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-13,161150,Bracketing,PR,unknown,,Temporary / Contingent
60000582,2017-01-10,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-04-11,54-1202,Prodn Line Cost Coll,,Female,,Temporary / Contingent
60000591,2016-01-18,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-01-17,12250,MV Pass/LT F.F.,PR,Female,1972-10-25,
60000601,2016-07-25,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-04-26,V3 Accepted other employment,2017-04-25,12170,MV Tire Assembly PLT,,Female,1991-04-17,Tire Builder Operator MVN-222
60000603,2016-01-27,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-01-26,12620,MV Qualty Inspection,QM,Male,1981-03-19,
60000615,2016-06-06,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-09-15,V5 Job abandonment,2017-03-08,22060,MV CF Tire Assem PLT,,Male,1983-02-16,Tire Builder Operator MVN-222
60000618,2016-11-30,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,2017-07-09,12160,MV PII Trk Bead Assm,,Male,1997-05-19,
60000633,2016-07-13,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-06-06,I1 Death,2017-06-04,1862177,PRODUCTION ADMIN,,Male,1990-08-22,Assembler
60000647,2016-02-15,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,2017-05-22,V3 Accepted other employment,2017-06-02,205-J143,I BS RD BCM2 SE,,Female,1989-12-30,Associate Systems Engineer
60000649,2016-02-15,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,2017-05-08,T5 End of intership,2017-05-05,164473,CONTROL STRATEGIES,,Male,1995-11-11,Intern/Student Program - Technical
60000658,2016-02-15,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-08-30,T5 End of intership,2017-08-15,214-218,PL Injector IE,,Male,1989-06-23,Intern/Student Program - Technical
60000660,2016-02-22,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,2017-06-30,T5 End of intership,2017-06-01,999HR,HR Dummy-CoCd515 Emp,,Male,1995-01-25,Intern/Student Program - Non Technical
60000676,2017-01-24,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-18,V0 Resignation unknown/Other,2017-03-15,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000698,2016-02-02,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,2016-02-18,V0 Resignation unknown/Other,2017-01-17,54-4362,COM Recv / Frt / Dut,PR,unknown,,
60000702,2017-04-10,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,2017-08-03,I5 Excessive absenteeism,2017-08-02,54-1202,Prodn Line Cost Coll,,Female,1993-03-11,Manufacturing Associate I
60000705,2016-05-26,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,2017-05-25,V0 Resignation unknown/Other,2017-05-22,54-1202,Prodn Line Cost Coll,,Female,1992-08-22,Manufacturing Associate I
60000716,2017-07-18,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-08-02,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000745,2016-02-19,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-02-19,12250,MV Pass/LT F.F.,PR,Male,1966-07-06,Rework/Repair Operator Final Finish MVN-
60000754,2016-02-14,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-03-27,V3 Accepted other employment,2017-03-23,2301258210,QC Inspection,,Female,1972-03-13,Quality Inspector I SOM-003
60000770,2016-02-08,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2017-01-29,2301203050,EBA2 Crush ring ass.,PR,Male,1980-03-18,Operator SOM-002
60000793,2016-07-13,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-05-16,V8 Relocation,2017-05-10,1862177,PRODUCTION ADMIN,,Male,1991-09-02,Material Handler
60000800,2016-02-22,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-01-17,V5 Job abandonment,2017-01-16,80670,Curing,,Male,1996-10-04,Crew Member SMT-002
60000810,2016-02-22,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-02-22,12250,MV Pass/LT F.F.,PR,Male,1973-01-22,
60000842,2017-04-25,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-06-06,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60000853,2017-06-06,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-07-05,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60000872,2016-02-25,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-07-10,I2 Disciplinary action,2017-06-27,214-K058,GHPP,,Male,1992-10-25,Production Associate
60000879,2016-02-25,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-09-19,V3 Accepted other employment,2017-09-12,214-K061,XL3 Fuel Rail,,Female,1994-04-15,Production Associate
60000912,2016-12-09,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-27,161148,Pre Assembly,,unknown,,
60000913,2016-02-26,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-03-06,161158,Fin. Ably MK25E MOD7,OP,unknown,,Temporary / Contingent
60000914,2016-02-26,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-07,161161,MK25e Valves- SO,PR,unknown,,Temporary / Contingent
60000921,2016-02-26,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-03-06,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60000929,2016-02-29,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,2017-09-01,I2 Disciplinary action,2017-08-31,2264501,ADAS Quality,,Male,1968-10-26,Engineer Technician III
60000955,2016-02-23,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-03-08,54-4362,COM Recv / Frt / Dut,PR,unknown,,Temporary / Contingent
60000958,2016-02-23,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-03-06,54-0700,Bldg/Facility COMMON,FM,unknown,,Temporary / Contingent
60000970,2016-03-04,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-05-16,I2 Disciplinary action,2017-05-10,214-K058,GHPP,,Female,1974-06-28,Production Associate
60000975,2016-03-04,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2016-11-02,V0 Resignation unknown/Other,2017-08-20,214-966,CR3 Deka VII,,Female,1994-11-18,Cell Operate and Setup
60000981,2013-03-15,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,2017-08-25,VE End of assignment,2017-08-31,205-B875,Honda BD,,Female,1989-09-19,Project Engineer
60000983,2012-10-01,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,2017-07-21,VT Transf.to other Conti comp.,2017-08-31,205-B974,I BS RD CF MD4,,Male,1988-10-15,Mechanical Engineer
60000990,2016-03-07,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-02-05,12270,MV Truck F.F.,PR,Male,1964-12-02,
60001000,2016-02-29,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,2017-02-17,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60001001,2016-03-06,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-01-23,161150,Bracketing,PR,unknown,,Temporary / Contingent
60001004,2016-03-05,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-03-03,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60001013,2016-03-05,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-03-03,761175,EAS Production,PR,unknown,,Temporary / Contingent
60001033,2016-05-09,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-07-14,V3 Accepted other employment,2017-07-13,1862177,PRODUCTION ADMIN,,Male,1964-01-17,Machine Operator
60001048,2016-11-14,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-06-01,V3 Accepted other employment,2017-05-27,12730,MV Gen Maint,,Male,1994-02-08,Electrician MVN-132
60001054,2016-10-17,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-07-31,V8 Relocation,2017-07-28,2301202050,Ext Asse. Labor AIS,,Female,1969-05-07,Tooling Administrator
60001068,2017-01-09,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-08-28,V5 Job abandonment,2017-08-23,2301202020,Ext Autocl Labor A,,Male,1986-12-17,Operator SOM-005
60001071,2016-12-18,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-03-03,V3 Accepted other employment,2017-03-03,2301202050,Ext Asse. Labor AIS,,Male,1993-04-05,Assembler SOM-001
60001079,2016-02-26,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2017-02-26,2301203070,BM Material Handler,PR,Male,1980-03-18,Temporary / Contingent
60001109,2017-05-06,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-06-02,,,,unknown,,
60001116,2016-03-01,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-03-06,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60001120,2017-01-24,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-04-20,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001121,2016-03-01,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-04-04,54-0700,Bldg/Facility COMMON,FM,unknown,,Temporary / Contingent
60001125,2016-03-11,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-01-27,161157,Fin. Ably MK25E MOD6,PR,unknown,,Temporary / Contingent
60001128,2016-03-09,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-03-13,161159,Fin. Ably MK100 MOD9,OP,unknown,,
60001143,2016-03-14,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,2017-03-30,12260,MV PII Truck Curing,PR,Male,1991-06-21,Press Operator MVN-112
60001145,2016-03-14,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,2017-03-01,12730,MV Gen Maint,PR,Male,1994-10-01,Maintenance Technician MVN-131
60001149,2016-03-07,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,2017-03-23,1862177,PRODUCTION ADMIN,OP,unknown,,Temporary / Contingent
60001156,2016-05-25,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-06-07,V5 Job abandonment,2017-06-06,1862177,PRODUCTION ADMIN,,Male,1988-01-10,Lead Assembly Setter
60001159,2016-08-15,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-05-04,V3 Accepted other employment,2017-05-02,1862177,PRODUCTION ADMIN,,Female,1991-11-18,Plating Operator
60001180,2016-12-06,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-02-07,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001183,2017-05-01,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,2017-06-08,V0 Resignation unknown/Other,2017-05-26,54-4362,COM Recv / Frt / Dut,,Male,1973-09-27,Material Handler I
60001191,2017-03-28,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-09-24,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001201,2016-10-30,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-07-28,V5 Job abandonment,2017-07-21,2301203040,Weld-Perif/Frimo/KLN,,Male,1990-08-08,Operator SOM-002
60001205,2016-03-06,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2017-04-01,2301202020,Ext Autocl Labor A,PR,unknown,1970-01-01,Temporary / Contingent
60001209,2016-03-07,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,2017-02-24,2301203050,EBA2 Crush ring ass.,PR,unknown,1970-01-01,Temporary / Contingent
60001210,2016-03-14,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2017-07-18,V3 Accepted other employment,2017-07-16,22080,MV CF Pass F.F.,,Male,1969-07-12,Repair Worker  MVN-211
60001211,2016-09-25,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2017-08-18,I2 Disciplinary action,2017-08-18,2301202050,Ext Asse. Labor AIS,,Male,1988-12-21,Assembler SOM-001
60001221,2016-03-13,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-01,161148,Pre Assembly,PR,unknown,,
60001222,2016-03-13,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-02-24,161159,Fin. Ably MK100 MOD9,OP,unknown,,
60001250,2016-03-01,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,2017-02-10,163144,MKxxE Machining,PR,Male,1996-11-10,Temporary / Contingent
60001268,2016-03-21,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-09-11,V3 Accepted other employment,2017-08-30,70610,Mixing,,Male,1963-12-30,Material Handler SMT-002
60001270,2016-03-15,30 Termination,Morganton,US-NC-Morganton-CAS Inc.,2017-04-28,V3 Accepted other employment,2017-04-27,161158,Fin. Ably MK25E MOD7,,Male,1987-04-21,Manufacturing Technician I
60001276,2016-03-21,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,2017-05-06,12250,MV Pass/LT F.F.,PR,Male,1976-01-16,
60001278,2016-03-17,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2017-08-23,T5 End of intership,2017-08-18,1862301,MANUFACTURING ENG,,Female,1996-02-22,Intern/Student Program - Non Technical
60001281,2016-09-14,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,2017-03-14,T5 End of intership,2017-03-13,214-219,Plant IE,,Male,1991-01-03,Intern/Student Program - Technical
60001288,2016-03-21,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-08-24,V3 Accepted other employment,2017-08-18,80640,Cutting,,Male,1982-02-06,Cutting/Slitting Machine Operator SMT-00
60001310,2016-03-07,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2017-08-03,V5 Job abandonment,2017-07-17,70610,Mixing,,Male,1990-08-23,Material Handler SMT-002
60001316,2017-06-14,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2017-06-30,161408,Receiving Morganton,,unknown,,
60001334,2017-07-18,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-08-18,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60001338,2016-03-15,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-03-27,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60001339,2016-07-26,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,2017-03-09,V0 Resignation unknown/Other,2017-03-07,54-1202,Prodn Line Cost Coll,,Male,1995-02-04,Manufacturing Associate I
60001349,2017-05-02,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2017-05-09,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
