Auto req ID,Country,Continental Location,Division,Cost Center,Job Title,Business Unit,Internal Position Title,Salary Classification,Salary Type,Current Req Status,Recruiter GID,ePR Approved,Date Open,Written Offer Accepted,Days On Hold,Days Open,Date Closed,Date Canceled,Started/Hired,No. of Positions,Positions Remaining,Original,Job Type,Date on Hold,Date Req Posted,Salary classification for internal posting
26398BR,US,Mt. Vernon,Tires,,,,,,Variable,Closed,-90141983,,2015-10-06,2016-02-09,,458,2017-01-06,,,1,0,External,Manufacturing,,2015-10-06 00:00:00,Hourly
26398BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,Hourly Production- 701,Hourly 701,Variable,Closed,-90141983,,2015-10-06,2015-12-10,,458,2017-01-06,,,1,0,External,Manufacturing,,2015-10-06 00:00:00,Hourly
26398BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,Hourly Production- 701,Hourly 701,Variable,Closed,-90141983,,2015-10-06,2015-11-04,,458,2017-01-06,,2015-11-04,1,0,External,Manufacturing,,2015-10-06 00:00:00,Hourly
26398BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,Hourly Production- 701,Hourly 701,Variable,Closed,-90141983,,2015-10-06,2016-02-09,,458,2017-01-06,,,1,0,Internal,Manufacturing,,2015-10-06 00:00:00,Hourly
26398BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,Hourly Production- 701,Hourly 701,Variable,Closed,-90141983,,2015-10-06,2015-12-16,,458,2017-01-06,,,1,0,External,Manufacturing,,2015-10-06 00:00:00,Hourly
26398BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,Hourly Production- 701,Hourly 701,Variable,Closed,-90141983,,2015-10-06,2015-11-20,,458,2017-01-06,,,1,0,External,Manufacturing,,2015-10-06 00:00:00,Hourly
26572BR,US,Morganton,Chassis & Safety,161158,Maintenance Technician (3rd Shift - Site 1 - Final Assembly),Electronic Brake Systems (EBS),Assembly Maintenance Technician Final Assembly,6,Variable,Closed,-90285119,2015-10-09,2015-10-11,2016-02-16,45.0,553,2017-05-31,,,3,0,External,Position with experience,2017-05-26,2015-10-12 00:00:00,Salaried non-exempt grade 6
26572BR,US,Morganton,Chassis & Safety,161158,Maintenance Technician (3rd Shift - Site 1 - Final Assembly),Electronic Brake Systems (EBS),Assembly Maintenance Technician Final Assembly,6,Variable,Closed,-90285119,2015-10-09,2015-10-11,2017-05-12,45.0,553,2017-05-31,,2017-05-30,3,0,External,Position with experience,2017-05-26,2015-10-12 00:00:00,Salaried non-exempt grade 6
26572BR,US,Morganton,Chassis & Safety,161158,Maintenance Technician (3rd Shift - Site 1 - Final Assembly),Electronic Brake Systems (EBS),Assembly Maintenance Technician Final Assembly,6,Variable,Closed,-90285119,2015-10-09,2015-10-11,2016-06-04,45.0,553,2017-05-31,,2016-06-06,3,0,External,Position with experience,2017-05-26,2015-10-12 00:00:00,Salaried non-exempt grade 6
26572BR,US,Morganton,Chassis & Safety,161158,Maintenance Technician (3rd Shift - Site 1 - Final Assembly),Electronic Brake Systems (EBS),Assembly Maintenance Technician Final Assembly,6,Variable,Closed,-90285119,2015-10-09,2015-10-11,2017-04-25,45.0,553,2017-05-31,,2017-05-30,3,0,External,Position with experience,2017-05-26,2015-10-12 00:00:00,Salaried non-exempt grade 6
27029BR,US,Mt. Vernon,Tires,12670,Data Analyst,PLT Repl. The Americas,Yield Analytics Engineer,10,Variable,Closed,-90159239,2015-10-13,2015-10-21,2016-12-09,,440,2017-01-03,,2017-01-03,1,0,Internal,Position with experience,,2016-03-09 00:00:00,2011-09-10 00:00:00
27300BR,US,Auburn Hills North,Chassis & Safety,1764463,Embedded Linux Software Engineer,Continental Engineering Services (CES),Embedded Linux Software Engineer (To replace 312858),2017-10-11 00:00:00,Fix,Closed,-90199971,2015-10-23,2015-10-27,2016-12-12,55.0,388,2017-01-12,,2017-01-12,1,0,External,Position with experience,2016-11-02,2016-08-09 00:00:00,2017-10-11 00:00:00
27969BR,US,Seguin,Interior,54­4350,Senior Plant Purchasing Specialist,Central Functions,Senior Plant Purchasing Specialist,1900-01-11 00:00:00,Fix,Closed,-90285119,2015-11-06,2015-12-17,2016-10-30,239.0,224,2017-03-24,,2017-03-22,1,0,Internal,Position with experience,2016-12-13,2015-12-17 00:00:00,Grade 11
28378BR,US,Auburn Hills North,Chassis & Safety,1764460,Senior Staff Systems Engineer,Continental Engineering Services (CES),Senior Staff ADAS Systems Engineer,1900-01-11 00:00:00,Fix,Closed,-90199971,2016-02-22,2015-12-17,2017-08-14,62.0,544,2017-08-14,,2017-08-14,1,0,External,Position with experience,2017-06-13,2016-08-09 00:00:00,11 or 10
29224BR,US,Mt. Vernon,Tires,12720,Plant Engineering Interns - Summer,Plant,Plant Engineering Summer Interns,Temp,Fix,Closed,-90011334,2015-11-25,2015-11-30,2017-06-12,,560,2017-06-12,,,10,0,External,Position without experience,,2016-01-07 00:00:00,Hourly
29224BR,US,Mt. Vernon,Tires,12720,Plant Engineering Interns - Summer,Plant,Plant Engineering Summer Interns,Temp,Fix,Closed,-90011334,2015-11-25,2015-11-30,2017-06-12,,560,2017-06-12,,2017-06-12,10,0,External,Position without experience,,2016-01-07 00:00:00,Hourly
29351BR,US,Sumter,Tires,70810,Product Industrialization ­ Materials Engineer/Chemist,PLT Repl. The Americas,Product Industrialization ­  Materials Engineer/Chemist  Q1 2016 394,SG10­11,Fix,Closed,-90161893,2015-12-02,2016-02-19,2017-02-28,,375,2017-02-28,,2017-02-28,1,0,External,Position with experience,,2016-06-13 00:00:00,SG 10-11
29638BR,US,Sumter,Tires,71120,Controls and Drives Engineer Trainee,PLT Repl. The Americas,Controls and Drives Trainee  Q1 2016  390,SG9­10,Fix,Closed,-90161893,2015-12-07,2016-03-24,2017-02-28,,341,2017-02-28,,2017-02-28,1,0,External,Position with experience,,2016-08-31 00:00:00,SG9-10
30526BR,US,Morganton,Automotive Divisions Central Functions,161530,IT Project / Program Manager - Infrastructure,Automotive Divisions Central Functions,Project / Program Manager Infrastructure,0,Fix,Closed,-90352286,2015-12-17,2016-02-29,2017-02-23,72.0,341,2017-02-23,,2017-02-23,1,0,Internal,Position with experience,2017-02-14,2016-08-01 00:00:00,12
31476BR,US,Charlotte/Fort Mill,Tires,99161,Key Account Representative (Ohio),Sales,Key Account Representative,10,Fix,Closed,-90209353,2016-01-11,2016-02-23,2017-04-03,109.0,299,2017-04-06,,2017-04-01,1,0,External,Executive Position,2017-03-29,2016-08-12 00:00:00,10
31539BR,US,Seguin,Automotive Divisions Central Functions,54­0410,Automotive IT Manufacturing Applications Engineer - Cryptography,Automotive Divisions Central Functions,OTC / PRISM 4 (15) ­ Process Consultant,Exempt,Fix,Closed,-90352286,2016-01-12,2016-03-23,2017-04-10,57.0,383,2017-04-10,,2017-04-10,1,0,Internal,Position with experience,2016-01-26,2016-06-09 00:00:00,11
31692BR,US,Rochester Hills,ContiTech,860801471,North America AC Business Manager,Fluid,North America AC Business Manager,HG13,Fix,Closed,-90279580,2016-01-14,2016-12-07,2017-01-12,22.0,42,2017-02-09,,2017-02-09,1,0,Internal,Position with experience,2017-02-03,2016-12-07 00:00:00,SG12
32341BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,,,Variable,Closed,-90141983,,2016-01-25,2016-02-09,,525,2017-07-03,,,1,1,External,Manufacturing,,2016-01-25 00:00:00,Hourly
32341BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,,,Variable,Closed,-90141983,,2016-01-25,2016-02-09,,525,2017-07-03,,,1,1,Internal,Manufacturing,,2016-01-25 00:00:00,Hourly
32341BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,,,Variable,Closed,-90141983,,2016-01-25,2016-02-04,,525,2017-07-03,,,1,1,External,Manufacturing,,2016-01-25 00:00:00,Hourly
32341BR,US,Mt. Vernon,Tires,Multiple Cost Centers,Hourly Production- 701,PLT Repl. The Americas,,,Variable,Closed,-90141983,,2016-01-25,2016-08-15,,525,2017-07-03,,,1,1,External,Manufacturing,,2016-01-25 00:00:00,Hourly
32486BR,US,Auburn Hills North,Chassis & Safety,564911,Algorithm Development Engineer ­Localization,Central Functions,Algorithm Development Engineer ­ Localization,2011-09-10 00:00:00,Fix,Closed,-90305685,2016-01-26,2016-02-25,2017-07-26,208.0,328,2017-08-14,,2017-08-14,1,0,External,Position with experience,2017-08-09,2016-03-01 00:00:00,2011-09-10 00:00:00
32965BR,US,Auburn Hills North,Chassis & Safety,1764460,Senior Staff Software Engineer,Continental Engineering Services (CES),Senior Staff Software Engineer,11,Fix,Closed,-90199971,2016-01-29,2016-02-02,2017-01-12,90.0,294,2017-02-20,,2017-01-12,1,0,Internal,Position with experience,2017-01-12,2016-02-06 00:00:00,2017-10-11 00:00:00
33370BR,US,Santa Barbara,Chassis & Safety,2264324,Software Engineer for Advanced Driver Assistance Systems,Advanced Driver Assistance Systems (ADAS),HFL Senior Embedded Software Engineer 3,10/­11,Fix,Closed,-90370132,2016-02-04,2016-02-24,2016-11-16,,321,2017-01-10,,2017-01-10,1,0,Referral,Position with experience,,2016-02-24 00:00:00,2017-10-11 00:00:00
33705BR,US,Auburn Hills North,Chassis & Safety,2264332,ADAS Algorithm - Project Leader,Advanced Driver Assistance Systems (ADAS),ADAS Algorithm Project Manager,2011-09-10 00:00:00,Fix,Closed,-90082652,2016-02-09,2016-02-18,2016-10-19,60.0,297,2017-02-09,,2017-02-09,1,0,Manual,Position with experience,2016-12-05,2016-08-12 00:00:00,9.10.11
34462BR,US,Culpeper,Chassis & Safety,163152,Maintenance Technician,Vehicle Dynamics (VED),Maintenance Technician,Non Exempt Grade 8,Variable,Closed,-90005563,2016-02-19,2016-02-21,2017-01-01,,315,2017-01-01,,2017-01-01,2,1,External,Position with experience,,2016-02-21 00:00:00,Non Exempt Grade 8
34465BR,US,Culpeper,Chassis & Safety,163152,Maintenance Planner,Vehicle Dynamics (VED),Maintenance Technician,Non Exempt Grade 8,Variable,Closed,-90005563,2016-02-19,2016-07-26,2017-01-01,,159,2017-01-01,,2017-01-01,2,1,External,Manufacturing,,2016-08-04 00:00:00,Non Exempt
34478BR,US,Auburn Hills South,Powertrain,205­P926,Engineering Tools Intern,Engine Systems,Student Intern ­ Engineering Tools,Intern,Fix,Closed,-90164995,2016-02-19,2016-03-01,2016-12-07,,315,2017-01-10,,2017-01-10,1,0,External,Internship,,2016-03-01 00:00:00,
34531BR,US,Auburn Hills North,Automotive Divisions Central Functions,9764408,Failure Analysis Engineering Analyst,Automotive Divisions Central Functions,Failure Analysis Engineer,2017-10-11 00:00:00,Fix,Closed,-90305685,2016-02-22,2016-09-01,2016-12-28,34.0,114,2017-01-27,,2017-01-23,1,0,External,Position with experience,2017-01-06,2016-09-01 00:00:00,2017-09-10 00:00:00
34531BR,US,Auburn Hills North,Automotive Divisions Central Functions,9764408,Failure Analysis Engineering Analyst,Automotive Divisions Central Functions,Failure Analysis Engineer,2017-10-11 00:00:00,Fix,Closed,-90305685,2016-02-22,2016-09-01,2016-10-12,34.0,114,2017-01-27,,,1,0,External,Position with experience,2017-01-06,2016-09-01 00:00:00,2017-09-10 00:00:00
34794BR,US,Dearborn CoDrive,Powertrain,219­Q032,Validation Engineer,Hybrid Electric Vehicles (HEV),Validation Engineer,SG 10 or 11,Fix,Closed,-90199971,2016-02-24,2016-03-02,2017-08-01,325.0,199,2017-08-08,,2017-08-08,1,0,External,Position with experience,2017-08-01,2016-08-09 00:00:00,10 or 11
34851BR,US,Sumter,Tires,70110,Communications Specialist,PLT Repl. The Americas,Communications Specialist b (R)  485,SG 9­10,Fix,Closed,-90161893,2016-02-24,2016-03-17,2017-04-23,229.0,173,2017-04-23,,2017-04-23,1,0,External,Position with experience,2016-09-06,2016-03-17 00:00:00,SG 9-10
34867BR,US,Auburn Hills North,Chassis & Safety,1864450,Foundation Test Application Engineer,Hydraulic Brake Systems (HBS),Foundation test application engineer,2017-10-11 00:00:00,Fix,Closed,-90199971,2016-02-24,2016-02-26,2017-02-20,94.0,305,2017-03-31,,2017-03-24,1,0,Referral,Position with experience,2017-02-15,2016-06-06 00:00:00,10 or 11
35091BR,US,Auburn Hills South,Chassis & Safety,2264331,Manager Software Engineering,Advanced Driver Assistance Systems (ADAS),Manager Software Engineering,'12,Fix,Closed,-90008357,2016-02-27,2016-03-10,2016-05-31,,348,2017-02-21,,2016-07-01,1,0,Internal,Position with experience,,2016-03-10 00:00:00,'12
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-12,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-11-21,53.0,306,2017-02-23,,,250,250,Internal,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-16,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-11-21,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-11-29,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-13,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-14,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-11-14,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-31,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-01,53.0,306,2017-02-23,,,250,250,External,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-12-16,53.0,306,2017-02-23,,,250,250,Internal,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35264BR,US,Newport News,Powertrain,,Production Associate,Engine Systems,Production Assoicate,Hourly,Variable,Closed,-90295758,,2016-03-01,2016-11-29,53.0,306,2017-02-23,,,250,250,Internal,Manufacturing,2016-11-28,2016-05-12 00:00:00,Hourly
35265BR,US,Newport News,Powertrain,,Maintenance Repair,Engine Systems,Maintenance Repair,,Variable,Closed,-90295758,,2016-03-01,2016-11-21,0.0,398,2017-04-03,,,15,15,External,Manufacturing,2016-12-12,2016-03-01 00:00:00,Hourly
35265BR,US,Newport News,Powertrain,,Maintenance Repair,Engine Systems,Maintenance Repair,,Variable,Closed,-90295758,,2016-03-01,2016-09-14,0.0,398,2017-04-03,,,15,15,External,Manufacturing,2016-12-12,2016-03-01 00:00:00,Hourly
35643BR,US,Auburn Hills South,Powertrain,205­P002,Systems Algorithm Engineer,Central Functions,Systems Algorithm Engineer,2017-10-11 00:00:00,Fix,Closed,-90199971,2016-03-07,2016-03-09,2016-11-22,56.0,253,2017-01-12,,2017-01-12,1,0,External,Position with experience,2016-09-27,2016-09-06 00:00:00,2017-10-11 00:00:00
36178BR,US,Fletcher,Chassis & Safety,1862116,Assembly Setter,Hydraulic Brake Systems (HBS),Assembly Setter,Q,Variable,Closed,-90005849,2016-03-09,2016-03-14,2017-01-09,,301,2017-01-09,,2017-01-09,8,0,Internal,Position with experience,,2016-03-14 00:00:00,Q
36178BR,US,Fletcher,Chassis & Safety,1862116,Assembly Setter,Hydraulic Brake Systems (HBS),Assembly Setter,Q,Variable,Closed,-90005849,2016-03-09,2016-03-14,2017-01-09,,301,2017-01-09,,2017-01-09,8,0,External,Position with experience,,2016-03-14 00:00:00,Q
36213BR,US,Fletcher,Chassis & Safety,1862116,Assembly Setter,Hydraulic Brake Systems (HBS),Assembly Setter,Hourly,Variable,Closed,-90005849,2016-03-09,2016-06-08,2017-01-09,,215,2017-01-09,,2017-01-09,2,0,External,Manufacturing,,2016-06-08 00:00:00,hourly
36507BR,US,Newport News,Powertrain,214­251,Quality Engineer,Engine Systems,Quality System Management Engineer,TBD,Fix,Closed,(uid40745),2016-03-17,2016-03-17,2016-08-29,28.0,264,2017-01-03,,,1,0,External,Position with experience,2016-12-06,2016-03-17 00:00:00,Grade 10 / 11
36507BR,US,Newport News,Powertrain,214­251,Quality Engineer,Engine Systems,Quality System Management Engineer,TBD,Fix,Closed,(uid40745),2016-03-17,2016-03-17,2016-09-30,28.0,264,2017-01-03,,2017-01-03,1,0,External,Position with experience,2016-12-06,2016-03-17 00:00:00,Grade 10 / 11
36642BR,US,Auburn Hills North,Chassis & Safety,2264501,Failure Analysis Engineer,Advanced Driver Assistance Systems (ADAS),Failure Analysis Engineer,'9/10/11,Fix,Closed,-90008357,2016-03-17,2016-03-24,2016-11-21,,322,2017-02-09,,2017-02-09,1,0,Referral,Position with experience,,2016-03-24 00:00:00,'9/10/11
36716BR,US,Deer Park,Powertrain,57­9010,Account Manager,Transmission (TR),Account Manager,12,Fix,Closed,-90305685,2016-03-18,2017-06-02,2017-07-25,239.0,61,2017-08-08,,2017-08-08,1,0,External,Position with experience,2017-08-02,2017-06-02 00:00:00,11
36717BR,US,Deer Park,Powertrain,57­9010,Customer Project Manager,Transmission (TR),Customer Project Manager,12,Fix,Closed,-90305685,2016-03-18,2016-04-08,2016-09-27,135.0,144,2017-01-12,,2016-09-27,1,0,External,Position with experience,2016-09-29,2016-07-14 00:00:00,12
36909BR,US,Auburn Hills North,Chassis & Safety,164476,Application Engineering Supervisor,Vehicle Dynamics (VED),Application Engineering Supervisor,'11,Fix,Closed,-90008357,2016-03-21,2016-04-13,2017-02-21,196.0,118,2017-02-21,,2017-02-21,1,0,Internal,Position with experience,2016-08-09,2016-04-18 00:00:00,11
36960BR,US,Auburn Hills South,Powertrain,205­J122,Senior Controls Engineer - Engine Systems,Engine Systems,Controls Development Engineer,2017-10-11 00:00:00,Fix,Closed,-90199971,2016-03-22,2016-04-05,2017-04-20,180.0,224,2017-06-16,2016-11-29,2017-06-16,1,0,External,Position with experience,2017-05-12,2016-04-05 00:00:00,
37190BR,US,Auburn Hills South,Interior,205­I817,Software Engineering Supervisor,Instrumentation and Driver HMI (ID),Software Engineering Supervisor,11,Fix,Closed,-90199971,2016-03-24,2016-03-28,2016-04-12,340.0,70,2017-05-12,,2017-05-12,1,0,External,Position with experience,2017-01-12,2016-03-28 00:00:00,SG 11
37283BR,US,Seguin,Powertrain,54­3300,Product Engineer,Sensors & Actuators,Product Engineer,10,Fix,Closed,-90285119,2016-03-29,2016-03-30,2016-06-27,115.0,369,2017-07-27,,,1,0,External,Position with experience,2017-06-27,2017-04-05 00:00:00,2017-10-11 00:00:00
37283BR,US,Seguin,Powertrain,54­3300,Product Engineer,Sensors & Actuators,Product Engineer,10,Fix,Closed,-90285119,2016-03-29,2016-03-30,2017-04-26,115.0,369,2017-07-27,,2017-07-27,1,0,Internal,Position with experience,2017-06-27,2017-04-05 00:00:00,2017-10-11 00:00:00
37349BR,US,Newport News,Powertrain,,Production Machinist,Engine Systems,,,Variable,Closed,-90295758,,2016-03-29,2016-11-28,0.0,370,2017-04-03,,,15,15,External,Position with experience,2016-12-12,2016-03-29 00:00:00,hourly
37349BR,US,Newport News,Powertrain,,Production Machinist,Engine Systems,,,Variable,Closed,-90295758,,2016-03-29,2016-06-09,0.0,370,2017-04-03,,,15,15,External,Position with experience,2016-12-12,2016-03-29 00:00:00,hourly
37349BR,US,Newport News,Powertrain,,Production Machinist,Engine Systems,,,Variable,Closed,-90295758,,2016-03-29,2016-05-10,0.0,370,2017-04-03,,,15,15,External,Position with experience,2016-12-12,2016-03-29 00:00:00,hourly
37349BR,US,Newport News,Powertrain,,Production Machinist,Engine Systems,,,Variable,Closed,-90295758,,2016-03-29,2016-12-12,0.0,370,2017-04-03,,,15,15,External,Position with experience,2016-12-12,2016-03-29 00:00:00,hourly
37349BR,US,Newport News,Powertrain,,Production Machinist,Engine Systems,,,Variable,Closed,-90295758,,2016-03-29,2016-09-01,0.0,370,2017-04-03,,,15,15,External,Position with experience,2016-12-12,2016-03-29 00:00:00,hourly
37483BR,US,Santa Clara,Interior,SW­6000,Senior DevOps Engineer,ITS,Senior Software Engineer ­ IoT Fullstack,11 or 12,Fix,Closed,-90148033,2016-03-31,2016-04-01,2016-11-15,85.0,319,2017-05-10,,,1,1,Agency Per Req,Position with experience,2017-02-10,2016-04-01 00:00:00,G
37491BR,US,Newport News,Powertrain,214­K070,Advanced Purchasing Buyer,Engine Systems,Advanced Purchasing Buyer,TBD,Fix,Closed,-90161893,2016-03-31,2016-04-01,2017-05-19,244.0,224,2017-07-13,,2017-07-13,1,0,External,Position with experience,2017-06-27,2016-04-04 00:00:00,grade 10 / 11
37577BR,US,Dearborn,Powertrain,219­Q004,Senior Staff System Engineer - Hybrid Electric Vehicles,Hybrid Electric Vehicles (HEV),Transfer of approved ePR P­DE16­364533,10 or 11,Fix,Closed,-90199971,2016-03-31,2016-04-06,2017-01-12,85.0,235,2017-02-20,,2017-01-12,1,0,External,Position with experience,2017-01-12,2016-04-06 00:00:00,10 or 11
38066BR,US,Seguin,Powertrain,54­3300,Quality Engineer,Sensors & Actuators,Quality Engineer,10,Fix,Closed,-90285119,2016-04-08,2016-05-19,2017-04-13,14.0,337,2017-05-05,,2017-05-05,1,0,External,Position with experience,2017-04-21,2016-06-06 00:00:00,grade 10 / 11
38608BR,US,Salt Lake City,Tires,98608,Retread Staff,CVT,BestDrive Retread Technician,6,Variable,Closed,-90291252,2016-04-15,2016-04-17,2016-10-21,,438,2017-06-29,,2017-03-13,1,0,External,Position with experience,,2016-04-17 00:00:00,6
38746BR,US,Charlotte/Fort Mill,Tires,99640,"Senior Manager, Safety and Health for NAFTA Region",Central Divisional Functions,"Sr. Manager, Safety and Health for NAFTA Region",Exempt,Fix,Closed,-90137107,2016-04-18,2016-04-21,2017-01-18,,272,2017-01-18,,2017-01-18,1,0,Internal,Position with experience,,2016-04-21 00:00:00,13
38805BR,US,Dearborn,Powertrain,219­Q004,Senior Staff Software Engineer (HEV),Hybrid Electric Vehicles (HEV),Senior Staff Software Engineer,11,Fix,Closed,-90203955,2016-04-19,2016-05-16,2017-01-31,194.0,66,2017-01-31,,2017-01-31,1,0,External,Position with experience,2016-07-21,2016-06-13 00:00:00,HAY
38809BR,US,Dearborn CoDrive,Powertrain,219­Q032,Validation Engineer - Hybrid Electric Vehicles,Hybrid Electric Vehicles (HEV),Validation Engineer,10,Fix,Closed,-90199971,2016-04-19,2016-09-01,2016-10-21,0.0,295,2017-06-23,,2017-06-23,2,1,External,Position with experience,2017-05-19,2017-05-19 00:00:00,10 or 11
